11.0.1.1,10000,0,34324,0,834,1125900,0,0,0,0,0,0.000900
11.0.1.1,10000,1300,33024,832,0,0,39936,0,0,0,0,0.000898
11.0.1.1,10000,20252,58476,0,837,1129950,0,0,0,368,0,0.000903
11.0.1.1,10000,18952,57176,837,0,0,40176,0,0,0,0,0.000904
11.0.1.1,10000,1300,17652,921,0,0,44208,0,0,0,0,0.001995
11.0.1.1,10000,0,18952,0,923,1246050,0,0,0,368,0,0.001997
11.0.1.1,10000,44404,17092,0,837,1129950,0,0,0,368,0,0.000903
11.0.1.1,10000,43104,15792,837,0,0,40176,0,0,0,0,0.000904
11.0.1.1,10000,18952,41804,926,0,0,44448,0,0,0,0,0.002000
11.0.1.1,10000,20252,43104,0,926,1250100,0,0,0,368,0,0.002000
11.0.1.1,10000,3020,41244,0,837,1129950,0,0,0,368,0,0.000903
11.0.1.1,10000,1720,39944,837,0,0,40176,0,0,0,0,0.000904
11.0.1.1,10000,43104,420,926,0,0,44448,0,0,0,0,0.002000
11.0.1.1,10000,44404,1720,0,926,1250100,0,0,0,368,0,0.002000
11.0.1.1,10000,27172,65396,0,837,1129950,0,0,0,368,0,0.000903
11.0.1.1,10000,25872,64096,837,0,0,40176,0,0,0,0,0.000904
11.0.1.1,10000,1720,24572,926,0,0,44448,0,0,0,0,0.002000
11.0.1.1,10000,3020,25872,0,926,1250100,0,0,0,368,0,0.002000
11.0.1.1,10000,51324,24012,0,837,1129950,0,0,0,368,0,0.000903
11.0.1.1,10000,50024,22712,837,0,0,40176,0,0,0,0,0.000904
11.0.1.1,10000,25872,48724,926,0,0,44448,0,0,0,0,0.002000
11.0.1.1,10000,27172,50024,0,926,1250100,0,0,0,368,0,0.002000
11.0.1.1,10000,9940,46864,0,836,1128600,0,0,0,368,0,0.000902
11.0.1.1,10000,8640,45564,836,0,0,40128,0,0,0,0,0.000902
11.0.1.1,10000,50024,7340,926,0,0,44448,0,0,0,0,0.002000
11.0.1.1,10000,51324,8640,0,926,1250100,0,0,0,368,0,0.002000
11.0.1.1,10000,34092,5480,0,836,1128600,0,0,0,368,0,0.000902
11.0.1.1,10000,32792,4180,836,0,0,40128,0,0,0,0,0.000902
11.0.1.1,10000,8640,31492,926,0,0,44448,0,0,0,0,0.002000
11.0.1.1,10000,9940,32792,0,926,1250100,0,0,0,368,0,0.002000
11.0.1.1,10000,58244,29632,0,836,1128600,0,0,0,368,0,0.000902
11.0.1.1,10000,56944,28332,836,0,0,40128,0,0,0,0,0.000902
11.0.1.1,10000,32792,55644,926,0,0,44448,0,0,0,0,0.002000
11.0.1.1,10000,34092,56944,0,926,1250100,0,0,0,368,0,0.002000
11.0.1.1,10000,16860,59600,7,538,726300,336,15,0,368,0,0.000902
11.0.1.1,10000,15560,59600,532,0,0,25536,1464,0,0,0,0.000902
11.0.1.1,10000,58244,15560,0,926,1250100,0,0,0,368,0,0.002000
